doy,Lai_500m
1,0.7480406248740817
5,0.7370894327823349
9,0.7361398225237435
13,0.7386034348529438
17,0.7445288815232991
21,0.7527655821032347
25,0.760520231314391
29,0.7689240347657778
33,0.7791349153318035
37,0.7902471250858161
41,0.8026027593676053
45,0.8170857030370777
49,0.8343114294338284
53,0.8539005143669959
57,0.8767107178738158
61,0.9047611156301264
65,0.940229783471075
69,0.9828089152577747
73,1.035329859154912
77,1.1021514684844167
81,1.1820665749888641
85,1.2806258478179584
89,1.397917355200108
93,1.5372207633312724
97,1.6981316150119625
101,1.8796565450281717
105,2.0817036010398167
109,2.300443468669388
113,2.5297876261201915
117,2.7653382239238047
121,2.998431380515198
125,3.2202259827247324
129,3.423182687730916
133,3.603164877621347
137,3.759531728206001
141,3.8891824812796734
145,3.993938760676756
149,4.075376848011148
153,4.139479402916097
157,4.192076073676751
161,4.233005397229309
165,4.2631527002358816
169,4.28702888476292
173,4.299437490474857
177,4.302603563045645
181,4.293119288199188
185,4.270834967812485
189,4.235898919299971
193,4.190902128857776
197,4.132606990399139
201,4.064834757872556
205,3.989027386025651
209,3.9061441982300753
213,3.8185926169144935
217,3.7281631198289853
221,3.6371201847594024
225,3.5471225991719817
229,3.4599350960462774
233,3.376264157388583
237,3.29867439414866
241,3.2246561460883396
245,3.154101527316581
249,3.086979988225876
253,3.021881293172125
257,2.9547587623738765
261,2.883635346354565
265,2.808397230835917
269,2.72588948160803
273,2.6356339098290626
277,2.5348587722428713
281,2.42442219962031
285,2.306411950279652
289,2.1818800109539462
293,2.051874976720789
297,1.9226051369842811
301,1.7959663643880663
305,1.676344882715876
309,1.5658745538711254
313,1.4653670948838387
317,1.376049268002253
321,1.2997162219369296
325,1.232299894362454
329,1.1758047405504866
333,1.1259598376772912
337,1.0830803477888835
341,1.0425462893779436
345,1.0032525987608287
349,0.9604030725771847
353,0.9086821022332254
357,0.8531876660810204
361,0.8101569670834162
365,0.7752745085481179
