doy,Lai_500m
1,0.6346258019604659
5,0.6254064173365452
9,0.624843673843262
13,0.6303099077261571
17,0.6392682810093766
21,0.6515249606227389
25,0.6634413679996339
29,0.6763329924320631
33,0.6911059470362927
37,0.7069396028320627
41,0.7238102020004801
45,0.7425929123959542
49,0.7639571404800616
53,0.787824682012689
57,0.8137668196833889
61,0.8451844667590959
65,0.8845634789064291
69,0.9300276242465758
73,0.9850839921884322
77,1.053937874185358
81,1.1349224844411883
85,1.2339580666439014
89,1.3500279540397115
93,1.487493960059261
97,1.6467757602522137
101,1.827093201544977
105,2.028913397143081
109,2.2505655485557083
113,2.4852784341825096
117,2.7292104937061366
121,2.9726991143798256
125,3.2041916692885666
129,3.4173229449780655
133,3.6045571622906656
137,3.765140191482384
141,3.8954080399249116
145,3.9976435844258447
149,4.0725359812357755
153,4.129241806726641
157,4.171381400643562
161,4.19988933230884
165,4.2174138480369825
169,4.225924169620635
173,4.222663162516406
177,4.2090988348161495
181,4.184135100262942
185,4.147824929742053
189,4.100791728375191
193,4.0467962317898065
197,3.9841312809514546
201,3.9152863794308805
205,3.8424052629567056
209,3.7652206239942045
213,3.6854658280567385
217,3.6034031919446203
221,3.5198011702962932
225,3.4355676536249664
229,3.3505071262233432
233,3.264911844752664
237,3.1821840718474323
241,3.1000479919848223
245,3.017890135448498
249,2.9367907219123186
253,2.85352212923522
257,2.767900843250159
261,2.6759244915650973
265,2.578090689789741
269,2.4724007890586392
273,2.3595780751274624
277,2.2381100063533164
281,2.1099313516522513
285,1.978123667481259
289,1.844038955337708
293,1.7106307304619732
297,1.5820287265772275
301,1.4602338163756345
305,1.3485749179073725
309,1.2481605604290307
313,1.1589109024282842
317,1.0817223270388245
321,1.0173037556182765
325,0.9627946538998465
329,0.9188418343420409
333,0.8824881917431184
337,0.8532906245519533
341,0.8273774099252785
345,0.8037091528359431
349,0.7788250388906618
353,0.7505453810617803
357,0.7160171332838314
361,0.6860552024380452
365,0.6584503569540351
