doy,Lai_500m
1,0.7659595959595846
5,0.07461279461279297
9,0.9047811447811457
13,2.0857912457912424
17,2.35875420875421
21,0.6460269360269394
25,0.22107744107745367
29,0.2928282828282872
33,0.34481481481482007
37,0.13983164983165017
41,0.4297306397306432
45,0.6609764309764347
49,0.9573737373737392
53,0.9989225589225589
57,0.7790572390572387
61,0.5226262626262623
65,0.17195286195286535
69,0.13505050505050661
73,0.8931649831649816
77,1.1012794612794625
81,1.0458249158249113
85,0.4717845117845112
89,0.627138047138046
93,1.5749831649831612
97,1.3822222222222154
101,1.7008080808080792
105,2.485420875420872
109,2.9493265993265974
113,2.300437710437712
117,1.5767676767676748
121,3.029865319865323
125,3.540976430976433
129,2.590673400673394
133,2.513299663299659
137,3.3484175084175063
141,2.2028956228956145
145,2.6568013468013474
149,2.4564983164983167
153,3.1328956228956266
157,2.4778787878787822
161,0.8699663299663242
165,1.2432996632996605
169,2.5611784511784528
173,1.6430303030302957
177,2.4073737373737325
181,2.2705050505050433
185,2.0273400673400666
189,2.035723905723895
193,1.60094276094276
197,1.6694612794612764
201,1.6069360269360213
205,1.6071717171717146
209,1.1647138047138044
213,1.2836700336700282
217,1.239831649831652
221,1.2015488215488208
225,1.171447811447804
229,1.3057239057238978
233,1.21750841750841
237,1.206902356902355
241,1.0752525252525207
245,0.9510101010100993
249,1.2141414141414097
253,1.22292929292929
257,1.1119865319865319
261,1.1361952861952838
265,1.022154882154878
269,1.0501010101010098
273,0.9924915824915783
277,1.004612794612795
281,1.0476094276094237
285,1.0220875420875415
289,0.9419191919191904
293,0.8698989898989922
297,0.33168350168350536
301,0.2128619528619606
305,0.8228956228956267
309,0.6234006734006703
313,0.4949158249158235
317,0.6685185185185131
321,1.037710437710437
325,1.827811447811451
329,0.22673400673401148
333,0.11215488215488159
337,2.0584848484848512
341,1.0159259259259212
345,3.2324915824915954
349,0.35700336700337143
353,0.740942760942763
357,2.442491582491577
361,0.9804713804713895
365,1.6676767676767654
