doy,Lai_500m
1,0.6214862939605464
5,0.6178551428218106
9,0.621177186082637
13,0.6310116178474752
17,0.6436090402806787
21,0.6602414237173935
25,0.675938224065947
29,0.6921756852651169
33,0.7107499222937816
37,0.7296189187544849
41,0.7498007567656684
45,0.7724236325221034
49,0.7980462275935437
53,0.8251847949430289
57,0.8551970551392815
61,0.8912329124519162
65,0.9343817279750535
69,0.984515562193252
73,1.0438526499384224
77,1.1143365721656697
81,1.194429062399619
85,1.284985255296495
89,1.3843788428895285
93,1.4926061327075644
97,1.605603790240696
101,1.7208770194248797
105,1.8362033236233621
109,1.9487304597321518
113,2.0536607084502925
117,2.148303826032033
121,2.2290389252313223
125,2.2929877238936687
129,2.3376980706774675
133,2.3639858212814846
137,2.3730318973080133
141,2.3655424388803237
145,2.344422239791284
149,2.312182917111386
153,2.2719191053468437
157,2.22547869694551
161,2.175692881100609
165,2.123211780883805
169,2.068647216190894
173,2.0123248761245547
177,1.9551735123779355
181,1.8961915790322668
185,1.8345661939587303
189,1.7714950793126463
193,1.7082948464430199
197,1.6446755005844391
201,1.5814555838053153
205,1.5209339471912753
209,1.4631832591530862
213,1.409615070514865
217,1.3603627156530649
221,1.3169257067430025
225,1.2789645708697481
229,1.24573125611271
233,1.2163014899618847
237,1.1913054935394967
241,1.1688025906364676
245,1.148702144338016
249,1.130124218034738
253,1.1120894098705627
257,1.0942943249886028
261,1.0760218720150962
265,1.0567956748126885
269,1.036130653790014
273,1.0139771265566773
277,0.9898143521867879
281,0.9638439206079997
285,0.9363487875855772
289,0.9078464032153857
293,0.8790067392165669
297,0.8509244764904108
301,0.824482150424018
305,0.8006518129095803
309,0.7800721100746116
313,0.7628044768820693
317,0.7493005635044891
321,0.7395571119544972
325,0.733113870985305
329,0.7297937755966101
333,0.7289460113118339
337,0.7293027137283215
341,0.7300501682033463
345,0.7296738754478292
349,0.7250143600849774
353,0.7122092143832631
357,0.6903879475051474
361,0.6648318728823879
365,0.6396884442694577
